n	T
1	31.43
2	32.35
3	29.10
4	30.03
5	29.25
6	33.04
7	32.12
8	32.77
9	32.42
10	31.64
11	29.36
12	29.80
13	31.69
14	29.71
15	30.80
16	29.51
17	30.98
18	32.98
19	30.47
20	31.42
21	30.94
22	29.17
23	31.82
24	30.34
25	29.43
26	30.46
27	28.99
28	29.78
29	29.74
30	32.87
31	29.69
32	31.00
33	30.77
34	29.03
35	27.69
36	29.95
37	29.54
38	30.54
39	32.52
40	30.81
41	29.47
42	30.66
43	29.94
44	30.33
45	31.82
46	28.61
47	32.19
48	28.83
49	32.47
50	33.75
51	33.53
52	30.93
53	28.96
54	29.93
55	32.15
56	33.97
57	28.47
58	35.83
59	31.79
60	30.01
61	28.72
62	30.51
63	30.27
64	29.56
65	29.87
66	31.79
67	30.21
68	27.83
69	28.96
70	30.84
71	30.43
72	33.00
73	29.85
74	31.82
75	30.49
76	30.38
77	29.17
78	31.37
79	31.61
80	31.60
81	30.61
82	31.80
83	31.00
84	31.10
85	28.39
86	31.72
87	32.16
88	29.42
89	30.62
90	29.52
91	28.25
92	29.95
93	32.23
94	29.65
95	31.54
96	31.42
97	31.12
98	29.83
99	30.89
100	30.20
101	34.79
102	28.81
103	32.09
104	29.07
105	32.02
106	31.54
107	31.05
108	31.13
109	30.15
110	32.80
111	29.33
112	33.34
113	30.27
114	33.67
115	31.85
116	32.57
117	30.12
118	32.88
119	31.52
120	30.31
121	27.72
122	31.81
123	32.14
124	30.40
125	29.20
126	30.64
127	29.70
128	27.37
129	28.77
130	32.02
131	30.80
132	31.29
133	31.58
134	29.64
135	30.84
136	29.41
137	31.47
138	32.41
139	28.78
140	33.95
141	30.15
142	27.26
143	29.65
144	29.99
145	32.74
146	29.23
147	31.89
148	30.40
149	30.60
150	30.38
151	29.60
152	30.11
153	32.49
154	27.58
155	28.23
156	31.08
157	30.64
158	29.39
159	32.94
160	32.37
161	31.81
162	33.41
163	31.21
164	29.35
165	30.91
166	32.15
167	31.85
168	30.82
169	32.68
170	30.69
171	32.47
172	31.03
173	32.36
174	28.92
175	31.77
176	29.67
177	31.12
178	28.92
179	28.54
180	31.66
181	31.53
182	31.11
183	29.32
184	28.52
185	34.44
186	34.87
187	30.22
188	31.03
189	31.82
190	31.12
191	31.39
192	32.19
193	30.89
194	33.94
195	31.09
196	28.19
197	31.18
198	32.76
199	31.87
200	31.82
201	31.68
202	29.02
203	27.99
204	32.08
205	29.98
206	30.07
207	30.85
208	31.50
209	32.83
210	30.17
211	31.50
212	30.12
213	33.03
214	34.93
215	29.42
216	33.78
217	31.92
218	29.10
219	30.98
220	32.39
221	31.84
222	32.00
223	28.39
224	33.27
225	31.16
226	31.15
227	30.95
228	29.06
229	31.38
230	31.15
231	31.26
232	32.77
233	30.60
234	28.75
235	29.94
236	29.46
237	31.38
238	32.01
239	29.57
240	31.99
241	31.79
242	31.83
243	32.28
244	30.62
245	32.13
246	30.24
247	32.09
248	31.55
249	30.95
250	30.27
251	33.22
252	32.09
253	32.11
254	34.37
255	32.63
256	31.24
257	30.04
258	32.77
259	34.73
260	33.65
261	27.87
262	32.49
263	30.04
264	29.83
265	31.09
266	28.89
267	31.04
268	32.63
269	31.19
270	31.97
271	30.73
272	33.97
273	32.82
274	32.55
275	30.27
276	28.43
277	30.80
278	28.71
279	30.80
280	33.69
281	32.50
282	29.35
283	30.34
284	30.70
285	32.81
286	30.93
287	31.46
288	30.05
289	29.25
290	32.06
291	34.41
292	27.94
293	32.55
294	32.90
295	31.81
296	29.99
297	31.89
298	30.65
299	30.03
300	32.65
301	30.76
302	30.96
303	31.98
304	28.50
305	31.07
306	31.94
307	30.29
308	26.74
309	32.27
310	32.87
311	31.16
312	29.08
313	31.10
314	31.41
315	32.39
316	31.57
317	31.88
318	30.97
319	32.16
320	32.90
321	32.12
322	30.92
323	32.42
324	30.84
325	32.23
326	32.59
327	31.84
328	32.22
329	32.30
330	32.61
331	30.29
332	33.05
333	29.95
334	30.11
335	31.10
336	33.77
337	32.42
338	33.24
339	30.51
340	32.55
341	30.48
342	30.85
343	30.32
344	31.02
345	30.77
346	30.24
347	33.41
348	29.02
349	31.37
350	30.29
351	31.82
352	31.43
353	28.01
354	32.67
355	30.11
356	29.94
357	29.80
358	32.86
359	26.35
360	33.28
361	32.00
362	32.09
363	33.19
364	31.17
365	31.46
366	30.65
367	29.11
368	28.04
369	29.72
370	31.13
371	30.79
372	33.32
373	30.32
374	30.83
375	33.73
